Step;VehicleID;X_Pos;Y_Pos;Speed_ms;Angle
62;ourVehicle0;526.78;1053.33;15.00;160.29
62;ourVehicle1;433.10;549.36;15.00;86.44
62;ourVehicle10;874.17;973.33;15.00;93.78
62;ourVehicle11;905.63;585.07;15.00;265.77
62;ourVehicle12;135.04;1071.93;15.00;355.26
62;ourVehicle13;1351.80;617.73;15.00;270.61
62;ourVehicle14;1464.92;812.10;15.00;344.98
62;ourVehicle15;630.12;762.58;15.00;330.39
62;ourVehicle16;709.35;661.41;15.00;154.88
62;ourVehicle3;743.49;766.88;15.00;85.26
62;ourVehicle4;519.96;1044.02;0.00;85.13
62;ourVehicle6;1053.52;217.01;15.00;81.19
62;ourVehicle7;270.11;1132.64;15.00;343.45
62;ourVehicle8;893.18;674.93;15.00;355.84
62;ourVehicle9;456.19;1143.67;15.00;264.01
63;ourVehicle0;538.63;1048.62;13.76;88.57
63;ourVehicle1;442.30;541.18;13.70;159.48
63;ourVehicle10;888.49;973.65;14.36;85.47
63;ourVehicle11;916.07;582.65;14.91;85.57
63;ourVehicle12;133.93;1085.60;13.72;355.42
63;ourVehicle13;1337.29;617.91;14.65;265.44
63;ourVehicle14;1457.05;820.46;11.56;311.37
63;ourVehicle15;623.00;774.86;14.19;329.64
63;ourVehicle16;718.14;650.06;14.76;134.06
63;ourVehicle18;758.44;570.60;15.00;86.89
63;ourVehicle19;354.49;1114.37;15.00;303.60
63;ourVehicle24;503.72;322.47;15.00;169.43
63;ourVehicle25;474.21;443.87;15.00;337.59
63;ourVehicle26;1363.11;603.88;15.00;25.99
63;ourVehicle27;1216.96;931.53;15.00;265.45
63;ourVehicle28;569.57;861.62;15.00;144.31
63;ourVehicle29;992.10;984.24;15.00;85.67
63;ourVehicle3;750.76;757.83;13.78;173.49
63;ourVehicle30;283.65;1086.59;15.00;343.74
63;ourVehicle31;1037.45;595.22;15.00;265.67
63;ourVehicle32;996.96;994.21;15.00;175.46
63;ourVehicle33;1516.02;856.46;15.00;305.73
63;ourVehicle34;439.06;554.68;15.00;156.14
