Step;VehicleID;X_Pos;Y_Pos;Speed_ms;Angle
38;ourVehicle1;113.70;187.11;15.00;352.15
38;ourVehicle11;43.86;15.52;15.00;263.01
38;ourVehicle12;166.60;203.44;15.00;260.77
38;ourVehicle13;281.20;41.86;15.00;262.62
38;ourVehicle14;511.01;12.37;15.00;354.69
38;ourVehicle15;482.93;58.28;15.00;83.27
38;ourVehicle17;482.95;251.63;15.00;353.48
38;ourVehicle19;326.47;229.50;15.00;79.46
38;ourVehicle2;258.68;220.15;15.00;259.46
38;ourVehicle24;16.46;181.95;15.00;262.03
38;ourVehicle27;337.50;231.53;15.00;79.57
38;ourVehicle28;336.92;234.68;15.00;259.66
38;ourVehicle3;180.88;205.76;15.00;259.53
38;ourVehicle30;486.26;79.92;15.00;174.84
38;ourVehicle37;467.15;255.19;15.00;79.66
38;ourVehicle38;12.19;172.47;0.00;350.08
38;ourVehicle39;247.89;214.89;15.00;79.54
38;ourVehicle42;502.20;81.38;15.00;351.13
38;ourVehicle43;478.50;148.86;15.00;213.12
38;ourVehicle49;254.20;210.28;0.00;352.85
38;ourVehicle5;414.37;45.64;15.00;94.19
38;ourVehicle57;494.37;150.89;15.00;352.70
38;ourVehicle59;118.03;196.63;15.00;262.02
38;ourVehicle7;174.91;195.72;15.00;166.79
38;ourVehicle73;3.18;176.92;15.00;81.47
38;ourVehicle74;106.06;22.04;15.00;278.75
38;ourVehicle83;6.68;186.34;0.00;171.36
38;ourVehicle84;104.21;191.43;0.00;81.75
38;ourVehicle9;498.65;61.51;15.00;343.80
38;ourVehicle91;375.24;43.05;15.00;80.95
38;ourVehicle93;484.87;67.94;0.00;327.26
39;ourVehicle1;104.19;194.60;13.78;276.94
39;ourVehicle11;36.88;26.03;14.65;352.27
39;ourVehicle12;151.97;201.39;14.78;262.02
39;ourVehicle13;266.58;39.97;14.74;262.64
39;ourVehicle14;509.57;27.82;15.54;354.69
39;ourVehicle15;496.35;63.89;14.79;53.34
39;ourVehicle17;472.31;258.87;14.36;277.15
39;ourVehicle18;171.44;209.46;15.00;174.29
39;ourVehicle19;333.36;219.63;14.32;173.34
39;ourVehicle2;245.21;217.65;13.70;259.50
39;ourVehicle20;110.53;186.68;15.00;185.24
39;ourVehicle23;500.23;52.43;15.00;291.68
39;ourVehicle24;25.93;180.06;13.84;81.72
39;ourVehicle27;351.55;234.09;14.28;79.66
39;ourVehicle28;323.03;232.12;14.13;259.51
39;ourVehicle3;188.26;203.88;11.58;79.54
39;ourVehicle30;476.26;73.20;14.03;263.52
39;ourVehicle37;474.05;245.01;14.60;173.49
39;ourVehicle38;12.19;172.47;0.00;350.08
39;ourVehicle39;261.60;217.43;13.94;79.48
39;ourVehicle42;500.86;96.43;15.09;355.05
39;ourVehicle43;480.24;135.29;13.72;172.71
39;ourVehicle46;16.46;181.95;0.00;262.03
39;ourVehicle49;254.20;210.28;0.00;352.85
39;ourVehicle5;429.04;47.81;14.87;81.60
39;ourVehicle57;492.71;165.29;14.52;353.69
39;ourVehicle7;176.86;181.70;14.15;172.09
39;ourVehicle73;10.11;165.82;14.91;170.09
39;ourVehicle74;91.06;20.96;15.01;265.88
39;ourVehicle83;6.68;186.34;0.00;171.36
39;ourVehicle84;104.21;191.43;0.00;81.75
39;ourVehicle9;487.54;70.23;14.92;289.33
39;ourVehicle91;389.17;46.77;14.57;81.59
39;ourVehicle93;484.87;67.94;0.00;327.26
40;ourVehicle1;90.25;192.63;14.08;261.74
40;ourVehicle11;34.61;42.62;16.75;352.09
40;ourVehicle12;137.81;199.40;14.29;262.02
40;ourVehicle13;252.89;38.20;13.80;262.64
40;ourVehicle14;508.24;42.31;14.58;354.83
40;ourVehicle15;501.89;75.86;13.74;9.48
40;ourVehicle17;459.01;256.96;13.45;259.66
40;ourVehicle18;174.94;195.54;14.37;167.12
40;ourVehicle19;335.33;202.83;16.92;173.34
40;ourVehicle2;230.85;215.00;14.61;259.53
40;ourVehicle20;112.40;173.09;13.72;172.16
40;ourVehicle23;498.83;39.71;14.62;175.28
40;ourVehicle24;40.99;182.25;15.22;81.72
40;ourVehicle26;167.04;200.27;15.00;82.02
40;ourVehicle27;365.66;236.67;14.34;79.66
40;ourVehicle28;308.75;229.46;14.53;259.46
40;ourVehicle3;201.34;206.29;13.30;79.54
40;ourVehicle30;459.86;71.06;16.52;261.50
40;ourVehicle37;476.00;227.94;17.18;173.49
40;ourVehicle38;12.14;174.42;1.95;353.33
40;ourVehicle39;276.22;220.15;14.87;79.46
40;ourVehicle42;499.28;111.61;15.25;353.95
40;ourVehicle43;482.05;121.16;14.28;172.71
40;ourVehicle45;326.47;229.50;15.00;79.46
40;ourVehicle46;14.28;181.65;2.20;262.26
40;ourVehicle48;281.20;41.86;15.00;262.62
40;ourVehicle49;253.67;212.66;2.44;350.19
40;ourVehicle5;443.87;49.90;15.01;82.03
40;ourVehicle52;482.93;58.28;15.00;83.27
40;ourVehicle54;37.68;20.20;15.00;328.14
40;ourVehicle57;491.13;179.62;14.42;353.69
40;ourVehicle66;511.01;12.37;15.00;354.69
40;ourVehicle68;113.70;187.11;15.00;352.15
40;ourVehicle7;178.87;167.22;14.62;172.09
40;ourVehicle73;12.96;149.52;16.55;170.09
40;ourVehicle74;75.39;19.39;15.72;263.00
40;ourVehicle78;336.92;234.68;15.00;259.66
