Step;VehicleID;X_Pos;Y_Pos;Speed_ms;Angle
42;ourVehicle0;751.19;841.54;15.00;16.55
42;ourVehicle11;1464.75;821.67;15.00;217.40
42;ourVehicle12;1441.82;767.60;15.00;9.05
42;ourVehicle13;534.39;1051.48;15.00;265.27
42;ourVehicle2;524.63;259.55;15.00;151.29
42;ourVehicle3;439.06;554.68;15.00;156.14
42;ourVehicle4;1019.52;792.85;15.00;265.35
42;ourVehicle5;217.74;230.92;15.00;103.60
42;ourVehicle6;535.85;943.63;15.00;356.29
42;ourVehicle7;1240.75;607.07;15.00;91.05
42;ourVehicle8;527.56;1046.53;15.00;340.58
43;ourVehicle0;750.30;853.09;11.59;355.58
43;ourVehicle11;1455.87;810.07;14.62;217.47
43;ourVehicle12;1447.26;780.55;13.94;36.95
43;ourVehicle13;528.00;1062.81;15.00;356.12
43;ourVehicle14;31.94;458.01;15.00;52.59
43;ourVehicle16;588.90;39.64;15.00;163.54
43;ourVehicle17;735.96;868.48;15.00;21.68
43;ourVehicle18;512.62;1148.91;15.00;264.86
43;ourVehicle19;716.72;668.49;15.00;87.36
43;ourVehicle2;529.65;246.00;14.48;163.09
43;ourVehicle20;795.94;78.31;15.00;85.36
43;ourVehicle22;354.85;1110.78;15.00;97.95
43;ourVehicle23;809.42;72.83;15.00;355.62
43;ourVehicle24;567.19;866.08;15.00;86.78
43;ourVehicle26;890.17;782.56;15.00;265.34
43;ourVehicle27;735.52;972.97;15.00;112.28
43;ourVehicle28;677.70;1059.85;15.00;85.48
43;ourVehicle29;747.23;788.69;15.00;165.68
43;ourVehicle3;451.10;550.48;13.46;91.10
43;ourVehicle30;728.55;1069.22;15.00;159.95
43;ourVehicle31;1186.50;1098.47;15.00;85.56
43;ourVehicle33;750.61;674.43;15.00;265.71
43;ourVehicle34;551.41;201.51;15.00;257.81
43;ourVehicle35;898.17;684.09;15.00;267.96
43;ourVehicle36;11.12;302.34;15.00;286.62
43;ourVehicle37;1021.38;684.21;15.00;171.11
43;ourVehicle4;1011.53;782.82;14.74;184.90
43;ourVehicle5;231.27;233.79;13.95;72.03
43;ourVehicle6;534.89;959.19;15.58;356.45
43;ourVehicle7;1255.66;608.17;14.95;85.43
43;ourVehicle8;516.21;1053.04;14.27;273.37
44;ourVehicle0;750.06;860.16;7.09;359.17
44;ourVehicle11;1447.13;798.55;14.39;217.16
44;ourVehicle12;1456.11;792.31;14.65;36.95
44;ourVehicle13;526.72;1080.08;17.32;355.68
44;ourVehicle14;39.94;469.45;14.42;19.13
44;ourVehicle16;592.10;28.54;11.55;163.74
44;ourVehicle17;723.71;869.89;14.11;265.60
44;ourVehicle18;498.92;1147.66;13.76;264.75
44;ourVehicle19;731.05;669.65;14.38;85.39
44;ourVehicle2;534.01;231.67;14.98;163.09
44;ourVehicle20;789.11;82.77;13.80;265.37
44;ourVehicle22;360.12;1098.29;13.78;163.71
44;ourVehicle23;808.40;86.50;13.70;355.72
44;ourVehicle24;563.53;877.51;13.78;331.19
44;ourVehicle26;899.84;780.13;14.11;85.48
44;ourVehicle27;736.95;985.63;14.54;355.60
44;ourVehicle28;692.14;1058.85;14.55;87.29
44;ourVehicle29;752.09;775.03;14.95;175.91
44;ourVehicle3;464.53;551.27;13.46;86.72
44;ourVehicle30;739.44;1062.37;14.05;95.35
44;ourVehicle31;1192.96;1087.79;14.58;175.33
44;ourVehicle32;753.82;878.84;15.00;265.09
44;ourVehicle33;736.75;673.32;13.91;265.39
44;ourVehicle34;543.33;211.27;14.65;346.42
44;ourVehicle35;890.02;675.08;13.83;190.82
44;ourVehicle36;15.29;295.35;14.03;106.61
44;ourVehicle37;1022.83;669.91;14.38;175.57
44;ourVehicle38;586.78;58.10;15.00;343.52
44;ourVehicle39;1377.18;210.93;15.00;19.69
44;ourVehicle4;1012.82;768.08;14.80;174.98
44;ourVehicle40;1187.54;908.50;15.00;85.57
44;ourVehicle41;992.10;984.24;15.00;85.67
44;ourVehicle42;727.58;964.67;15.00;85.46
44;ourVehicle44;1056.03;918.23;15.00;265.34
44;ourVehicle45;301.46;121.52;15.00;323.97
44;ourVehicle48;874.38;976.52;15.00;273.71
44;ourVehicle49;776.40;571.78;15.00;86.24
44;ourVehicle5;245.84;238.35;15.27;72.83
44;ourVehicle50;350.30;851.83;15.00;163.29
44;ourVehicle51;1371.85;223.82;15.00;297.50
44;ourVehicle54;1223.88;714.22;15.00;175.36
44;ourVehicle55;1443.80;759.94;15.00;300.51
44;ourVehicle58;635.95;750.69;15.00;267.43
44;ourVehicle6;533.93;973.94;14.79;356.27
44;ourVehicle60;140.41;967.71;15.00;175.32
44;ourVehicle61;891.34;580.80;15.00;85.66
44;ourVehicle63;1515.10;937.54;15.00;237.61
44;ourVehicle64;704.05;669.93;15.00;40.53
44;ourVehicle66;1301.73;505.15;15.00;205.47
44;ourVehicle67;280.58;1085.69;15.00;151.52
44;ourVehicle68;638.19;760.37;15.00;254.23
44;ourVehicle69;721.95;1061.08;15.00;85.65
44;ourVehicle7;1270.54;609.36;14.93;85.42
44;ourVehicle8;504.28;1052.06;11.96;265.29
45;ourVehicle0;753.95;865.79;7.40;45.41
45;ourVehicle11;1438.39;787.02;14.40;217.16
45;ourVehicle12;1463.03;801.49;11.44;37.07
45;ourVehicle13;525.28;1099.07;19.04;355.68
45;ourVehicle14;32.91;481.99;14.74;323.29
45;ourVehicle15;447.71;552.68;15.00;203.11
45;ourVehicle16;594.53;20.39;8.51;163.45
45;ourVehicle17;707.89;868.65;15.87;265.56
45;ourVehicle18;485.12;1146.39;13.86;264.75
45;ourVehicle19;741.20;670.47;10.18;85.39
45;ourVehicle2;537.45;220.28;11.90;163.31
45;ourVehicle20;773.18;81.48;15.98;265.37
45;ourVehicle21;31.94;458.01;15.00;52.59
45;ourVehicle22;364.09;1084.78;14.08;163.61
45;ourVehicle23;807.32;100.51;14.06;355.58
45;ourVehicle24;555.72;891.81;16.29;331.42
45;ourVehicle26;915.31;781.35;15.51;85.48
45;ourVehicle27;735.65;1002.54;16.96;355.60
45;ourVehicle28;707.00;1059.96;14.89;85.73
45;ourVehicle29;740.54;769.85;13.40;260.71
45;ourVehicle3;477.30;552.00;12.79;86.72
45;ourVehicle30;752.50;1063.33;13.09;86.04
45;ourVehicle31;1194.29;1071.59;16.25;175.29
45;ourVehicle32;739.87;871.68;14.83;250.87
45;ourVehicle33;725.10;672.38;11.68;265.39
45;ourVehicle34;538.54;227.75;17.16;343.12
45;ourVehicle35;891.08;660.42;14.71;175.52
45;ourVehicle36;31.15;290.62;16.55;106.62
45;ourVehicle37;1023.95;655.35;14.61;175.57
45;ourVehicle38;582.69;71.69;14.19;343.57
45;ourVehicle39;1382.01;224.06;13.98;20.20
45;ourVehicle4;1014.18;752.62;15.51;174.98
45;ourVehicle40;1201.00;912.75;13.84;85.56
45;ourVehicle41;998.51;974.79;13.86;175.49
45;ourVehicle42;741.27;965.79;13.73;85.31
45;ourVehicle43;795.94;78.31;15.00;85.36
45;ourVehicle44;1041.49;915.44;14.93;265.34
45;ourVehicle45;293.14;132.97;14.15;324.00
45;ourVehicle48;860.33;977.45;14.09;273.77
45;ourVehicle49;790.65;572.89;14.29;85.50
45;ourVehicle5;261.09;245.22;16.78;62.97
45;ourVehicle50;354.43;837.99;14.44;163.39
45;ourVehicle51;1358.85;230.46;14.59;297.06
45;ourVehicle54;1213.28;707.78;14.52;265.53
45;ourVehicle55;1442.03;773.60;14.36;34.29
45;ourVehicle56;228.01;232.64;15.00;65.63
45;ourVehicle58;639.93;739.06;14.12;149.29
45;ourVehicle59;1383.13;237.62;15.00;185.45
45;ourVehicle6;532.96;988.88;14.97;356.27
45;ourVehicle60;142.75;977.66;14.37;354.69
45;ourVehicle61;881.49;583.25;14.31;265.50
45;ourVehicle63;1513.56;923.68;14.74;175.36
45;ourVehicle64;694.99;679.50;14.28;314.35
45;ourVehicle66;1301.06;489.52;14.78;193.30
45;ourVehicle67;285.29;1069.75;16.62;163.41
45;ourVehicle68;649.48;759.04;14.80;85.24
45;ourVehicle69;728.70;1050.81;14.36;174.80
45;ourVehicle7;1284.88;610.51;14.39;85.42
45;ourVehicle70;790.28;245.76;15.00;175.56
45;ourVehicle71;761.43;768.34;15.00;85.35
45;ourVehicle72;309.86;109.97;15.00;323.88
45;ourVehicle73;545.41;188.30;15.00;166.89
45;ourVehicle74;1106.41;58.44;15.00;98.50
45;ourVehicle76;361.05;41.17;15.00;323.55
45;ourVehicle77;1423.35;282.98;15.00;49.72
45;ourVehicle78;1354.90;337.57;15.00;120.28
45;ourVehicle79;1058.51;226.25;15.00;175.30
45;ourVehicle8;495.81;1051.36;8.51;265.29
45;ourVehicle80;1513.10;950.67;15.00;195.90
45;ourVehicle81;780.82;456.45;15.00;351.27
45;ourVehicle82;456.38;483.62;15.00;187.11
45;ourVehicle83;540.93;952.88;15.00;264.91
45;ourVehicle88;892.67;884.59;15.00;257.72
45;ourVehicle92;1240.88;610.27;15.00;266.31
45;ourVehicle93;1036.41;495.55;15.00;175.48
45;ourVehicle95;136.23;1057.58;15.00;355.34
45;ourVehicle99;567.19;866.08;15.00;86.78
46;ourVehicle0;760.81;866.59;6.92;85.16
46;ourVehicle11;1430.00;775.62;14.09;214.96
46;ourVehicle12;1466.07;808.02;7.40;18.81
46;ourVehicle13;524.05;1115.31;16.29;355.68
46;ourVehicle14;22.64;495.81;17.22;323.36
46;ourVehicle15;460.32;551.03;14.52;86.63
46;ourVehicle16;597.41;20.52;4.02;104.22
46;ourVehicle17;689.85;867.25;18.08;265.56
46;ourVehicle18;471.73;1145.16;13.45;264.75
46;ourVehicle19;748.14;671.03;6.96;85.39
46;ourVehicle2;539.86;211.85;8.77;164.27
46;ourVehicle20;754.90;80.00;18.34;265.37
46;ourVehicle21;42.65;453.07;13.83;142.77
46;ourVehicle22;368.12;1071.08;14.28;163.63
46;ourVehicle23;806.26;114.25;13.78;355.58
46;ourVehicle24;546.82;908.12;18.58;331.38
46;ourVehicle26;932.41;782.71;17.16;85.47
46;ourVehicle27;734.16;1021.86;19.38;355.60
46;ourVehicle28;718.55;1060.82;11.58;85.68
46;ourVehicle29;726.96;768.71;13.62;265.21
46;ourVehicle3;490.54;552.87;13.26;86.23
46;ourVehicle30;764.92;1066.83;13.18;84.59
46;ourVehicle31;1195.77;1053.55;18.10;175.29
46;ourVehicle32;725.11;870.00;14.87;265.53
46;ourVehicle33;717.95;671.80;7.18;265.39
46;ourVehicle34;532.81;246.63;19.74;343.10
46;ourVehicle35;892.21;646.00;14.46;175.52
