Step;VehicleID;X_Pos;Y_Pos;Speed_ms;Angle
1;traffic_E_W.0;1004.90;511.65;0.00;270.00
1;traffic_N_S.0;508.35;1004.90;0.00;180.00
1;traffic_S_N.0;511.65;15.10;0.00;0.00
1;traffic_W_E.0;15.10;508.35;0.00;90.00
2;traffic_E_W.0;1003.71;511.65;1.19;270.00
2;traffic_N_S.0;508.35;1003.45;1.45;180.00
2;traffic_S_N.0;511.65;16.32;1.22;0.00
2;traffic_W_E.0;16.27;508.35;1.17;90.00
3;traffic_E_W.0;1001.45;511.65;2.27;270.00
3;traffic_N_S.0;508.35;1000.51;2.94;180.00
3;traffic_S_N.0;511.65;19.36;3.04;0.00
3;traffic_W_E.0;19.11;508.35;2.84;90.00
4;traffic_E_W.0;997.61;511.65;3.84;270.00
4;traffic_N_S.0;508.35;995.71;4.81;180.00
4;traffic_S_N.0;511.65;23.64;4.28;0.00
4;traffic_W_E.0;23.84;508.35;4.73;90.00
5;traffic_E_W.0;992.57;511.65;5.04;270.00
5;traffic_N_S.0;508.35;989.53;6.18;180.00
5;traffic_S_N.0;511.65;29.65;6.01;0.00
5;traffic_W_E.0;30.08;508.35;6.24;90.00
6;traffic_E_W.0;986.20;511.65;6.37;270.00
6;traffic_N_S.0;508.35;981.95;7.58;180.00
6;traffic_S_N.0;511.65;37.37;7.71;0.00
6;traffic_W_E.0;37.65;508.35;7.57;90.00
7;traffic_E_W.0;978.50;511.65;7.71;270.00
7;traffic_N_S.0;508.35;972.92;9.03;180.00
7;traffic_S_N.0;511.65;46.73;9.36;0.00
7;traffic_W_E.0;46.34;508.35;8.68;90.00
8;traffic_E_W.0;969.02;511.65;9.48;270.00
8;traffic_N_S.0;508.35;961.96;10.96;180.00
8;traffic_S_N.0;511.65;57.30;10.56;0.00
8;traffic_W_E.0;56.55;508.35;10.22;90.00
9;traffic_E_W.0;957.81;511.65;11.21;270.00
9;traffic_N_S.0;508.35;949.99;11.97;180.00
9;traffic_S_N.0;511.65;69.18;11.88;0.00
9;traffic_W_E.0;68.49;508.35;11.93;90.00
10;traffic_E_W.0;944.96;511.65;12.85;270.00
10;traffic_N_S.0;508.35;936.39;13.60;180.00
10;traffic_S_N.0;511.65;82.07;12.90;0.00
10;traffic_W_E.0;81.82;508.35;13.33;90.00
11;traffic_E_W.0;930.63;511.65;14.33;270.00
11;traffic_N_S.0;508.35;921.40;14.98;180.00
11;traffic_S_N.0;511.65;96.71;14.63;0.00
11;traffic_W_E.0;96.87;508.35;15.05;90.00
12;traffic_E_W.0;914.52;511.65;16.11;270.00
12;traffic_N_S.0;508.35;904.72;16.68;180.00
12;traffic_S_N.0;511.65;112.66;15.95;0.00
12;traffic_W_E.0;113.34;508.35;16.47;90.00
13;traffic_E_W.0;896.53;511.65;17.99;270.00
13;traffic_N_S.0;508.35;886.37;18.35;180.00
13;traffic_S_N.0;511.65;130.51;17.85;0.00
13;traffic_W_E.0;131.73;508.35;18.39;90.00
14;traffic_E_W.0;876.99;511.65;19.54;270.00
14;traffic_N_S.0;508.35;866.46;19.91;180.00
14;traffic_S_N.0;511.65;147.84;17.33;0.00
14;traffic_W_E.0;151.81;508.35;20.08;90.00
15;traffic_E_W.0;857.62;511.65;19.37;270.00
15;traffic_N_S.0;508.35;845.94;20.53;180.00
15;traffic_S_N.0;511.65;165.16;17.31;0.00
15;traffic_W_E.0;172.60;508.35;20.80;90.00
16;traffic_E_W.0;838.60;511.65;19.02;270.00
16;traffic_N_S.0;508.35;826.07;19.87;180.00
16;traffic_S_N.0;511.65;182.91;17.75;0.00
16;traffic_W_E.0;193.45;508.35;20.84;90.00
17;traffic_E_W.0;819.26;511.65;19.34;270.00
17;traffic_N_S.0;508.35;805.86;20.20;180.00
17;traffic_S_N.0;511.65;200.59;17.68;0.00
17;traffic_W_E.0;213.70;508.35;20.25;90.00
18;traffic_E_W.0;800.45;511.65;18.81;270.00
