Step;VehicleID;X_Pos;Y_Pos;Speed_ms;Angle
1;veh0;207.34;52.00;0.00;265.30
2;veh0;205.62;51.86;1.73;265.26
3;veh0;202.40;51.59;3.23;265.25
4;veh0;196.59;51.11;5.82;265.26
5;veh0;188.40;50.43;8.22;265.26
6;veh0;177.93;49.56;10.51;265.26
7;veh0;165.05;48.49;12.93;265.25
8;veh0;150.93;47.32;14.17;265.26
9;veh0;136.90;46.15;14.09;265.25
10;veh0;122.79;44.98;14.16;265.25
11;veh0;108.86;43.82;13.98;265.25
12;veh0;94.88;44.26;14.09;267.81
13;ourVehicle0;224.92;59.07;15.00;355.30
13;ourVehicle1;212.77;155.33;15.00;111.91
13;ourVehicle12;211.51;143.31;15.00;175.64
13;ourVehicle17;223.81;153.19;0.00;265.31
13;ourVehicle2;6.12;129.05;15.00;180.09
13;ourVehicle23;52.78;136.00;15.00;104.98
13;ourVehicle27;220.12;44.23;15.00;175.30
13;ourVehicle30;6.40;167.10;15.00;354.81
13;ourVehicle33;9.32;129.00;15.00;0.98
13;ourVehicle41;21.52;26.09;15.00;353.71
13;ourVehicle44;230.61;11.90;15.00;355.32
13;ourVehicle59;11.98;25.00;15.00;178.64
13;ourVehicle69;204.11;148.35;15.00;85.33
13;ourVehicle71;223.84;47.85;0.00;330.22
13;ourVehicle85;25.99;38.55;0.00;265.27
13;ourVehicle94;217.49;143.75;15.00;355.40
13;veh0;80.29;43.05;14.65;265.26
14;ourVehicle0;223.78;73.00;13.98;355.30
14;ourVehicle1;213.76;162.94;11.17;326.60
14;ourVehicle10;204.11;148.35;0.00;85.33
14;ourVehicle12;212.65;129.44;13.91;175.23
14;ourVehicle17;223.81;153.19;0.00;265.31
14;ourVehicle2;6.76;114.48;14.60;175.07
14;ourVehicle23;67.55;137.20;14.81;85.33
14;ourVehicle25;212.77;155.33;15.00;111.91
14;ourVehicle27;221.50;28.15;16.14;174.70
14;ourVehicle30;4.06;157.57;13.95;174.81
14;ourVehicle32;218.94;58.58;15.00;175.35
14;ourVehicle33;20.35;134.96;14.29;85.34
14;ourVehicle41;17.38;39.58;14.16;338.05
14;ourVehicle47;214.48;22.61;2.60;85.32
14;ourVehicle59;13.56;10.92;14.17;173.59
14;ourVehicle6;5.74;138.97;15.00;174.86
14;ourVehicle69;202.51;151.43;6.00;315.94
14;ourVehicle71;223.84;47.85;0.00;330.22
14;ourVehicle75;14.14;41.89;0.00;110.26
14;ourVehicle85;25.99;38.55;0.00;265.27
14;ourVehicle90;18.34;25.73;15.00;353.70
14;ourVehicle91;226.52;12.77;0.00;291.68
14;veh0;66.58;41.92;13.75;265.26
15;ourVehicle0;222.29;87.70;14.78;354.10
15;ourVehicle1;210.29;156.56;8.68;188.17
15;ourVehicle10;204.11;148.35;0.00;85.33
15;ourVehicle12;213.86;114.91;14.58;175.23
15;ourVehicle13;215.13;146.18;15.00;292.38
15;ourVehicle17;223.81;153.19;0.00;265.31
15;ourVehicle19;226.10;44.72;0.00;355.29
15;ourVehicle2;8.00;100.12;14.41;175.07
15;ourVehicle23;81.36;138.33;13.86;85.33
15;ourVehicle27;223.70;14.61;13.73;170.75
15;ourVehicle30;5.21;144.82;12.80;174.85
15;ourVehicle31;217.49;143.75;0.00;355.40
15;ourVehicle32;209.06;48.93;13.83;231.37
15;ourVehicle33;36.44;136.27;16.14;85.34
15;ourVehicle41;15.61;50.53;11.12;353.70
15;ourVehicle47;218.13;23.13;3.68;82.81
15;ourVehicle6;6.04;124.21;14.78;180.95
15;ourVehicle69;195.20;150.83;7.34;265.33
15;ourVehicle71;222.60;48.59;1.44;316.01
15;ourVehicle75;14.14;41.89;0.00;110.26
15;ourVehicle76;220.12;44.23;15.00;175.30
15;ourVehicle8;224.92;59.07;15.00;355.30
15;ourVehicle85;24.38;38.56;1.61;266.92
15;ourVehicle90;16.16;16.39;13.70;173.59
15;ourVehicle91;226.52;12.77;0.00;291.68
15;veh0;51.99;40.71;14.65;265.26
16;ourVehicle0;220.99;101.65;14.01;355.23
16;ourVehicle1;204.56;151.68;8.33;247.67
16;ourVehicle10;204.11;148.35;0.00;85.33
16;ourVehicle12;215.10;100.11;14.85;175.23
16;ourVehicle13;212.23;134.45;14.19;175.23
16;ourVehicle17;223.81;153.19;0.00;265.31
16;ourVehicle18;210.41;157.73;5.17;175.79
16;ourVehicle19;226.10;44.72;0.00;355.29
16;ourVehicle2;9.25;85.60;14.58;175.07
16;ourVehicle23;96.14;139.54;14.83;85.33
16;ourVehicle27;224.74;5.16;9.51;175.31
16;ourVehicle3;9.32;129.00;0.00;0.98
16;ourVehicle30;6.15;131.59;13.28;177.67
16;ourVehicle31;217.49;143.75;0.00;355.40
16;ourVehicle32;193.40;47.63;15.71;265.26
16;ourVehicle33;54.69;136.16;18.69;103.67
16;ourVehicle38;5.74;138.97;0.00;174.86
16;ourVehicle41;14.55;61.31;10.83;355.07
16;ourVehicle47;223.90;24.66;5.98;73.87
16;ourVehicle6;7.15;109.94;14.31;175.07
16;ourVehicle69;186.29;150.11;8.94;265.33
16;ourVehicle71;218.78;49.28;3.89;284.78
16;ourVehicle75;14.14;41.89;0.00;110.26
16;ourVehicle76;221.31;29.76;14.52;175.30
16;ourVehicle79;218.94;58.58;15.00;175.35
16;ourVehicle8;223.72;73.67;14.65;355.32
16;ourVehicle85;20.94;38.87;3.48;273.67
16;ourVehicle87;151.53;12.56;15.00;85.25
16;ourVehicle90;22.98;5.21;15.66;100.80
16;ourVehicle91;226.52;12.77;0.00;291.68
16;veh0;41.51;39.84;10.51;265.26
17;ourVehicle0;219.77;116.21;14.61;355.23
17;ourVehicle1;196.20;150.92;8.40;265.33
17;ourVehicle10;204.11;148.35;0.00;85.33
17;ourVehicle11;224.92;59.07;15.00;355.30
17;ourVehicle12;216.45;85.81;14.37;174.13
17;ourVehicle13;213.56;118.59;15.92;175.23
17;ourVehicle17;223.81;153.19;0.00;265.31
17;ourVehicle18;210.79;152.81;4.93;175.61
