Step;VehicleID;X_Pos;Y_Pos;Speed_ms;Angle
1;veh0;207.34;52.00;0.00;265.30
2;veh0;205.62;51.86;1.73;265.26
3;veh0;202.40;51.59;3.23;265.25
4;veh0;196.59;51.11;5.82;265.26
5;veh0;188.40;50.43;8.22;265.26
6;veh0;177.93;49.56;10.51;265.26
7;veh0;165.05;48.49;12.93;265.25
8;veh0;150.93;47.32;14.17;265.26
9;veh0;136.90;46.15;14.09;265.25
10;veh0;122.79;44.98;14.16;265.25
11;veh0;108.86;43.82;13.98;265.25
12;veh0;94.88;44.26;14.09;267.81
13;veh0;80.29;43.05;14.65;265.26
14;veh0;66.58;41.92;13.75;265.26
15;veh0;52.96;40.79;13.67;265.26
16;veh0;39.89;39.71;13.11;265.26
17;veh0;28.51;38.75;11.42;265.18
18;veh0;21.36;38.75;7.19;272.02
19;veh0;16.45;43.21;7.17;324.02
20;veh0;15.56;51.00;7.85;353.69
21;veh0;14.72;59.37;8.41;354.66
22;veh0;13.97;68.01;8.67;355.07
23;veh0;13.25;76.38;8.40;355.07
24;veh0;12.59;83.98;7.62;355.07
25;veh0;11.94;91.58;7.62;355.07
26;veh0;11.23;99.82;8.27;355.07
27;veh0;10.51;108.21;8.42;355.07
28;veh0;9.79;116.51;8.33;355.07
29;veh0;9.25;124.73;8.25;356.95
30;veh0;9.31;128.48;3.75;0.98
31;veh0;7.26;130.39;3.40;330.10
32;veh0;6.09;127.37;3.47;222.09
33;veh0;6.13;121.70;5.68;179.38
34;veh0;6.80;114.04;7.69;175.07
35;veh0;7.55;105.25;8.82;175.07
36;veh0;8.27;96.88;8.41;175.07
37;veh0;8.98;88.74;8.17;175.07
38;veh0;9.71;80.24;8.53;175.07
39;veh0;10.38;72.52;7.76;175.07
40;veh0;11.06;64.56;7.99;175.07
41;veh0;11.78;56.27;8.32;175.07
42;veh0;12.73;47.50;8.82;173.68
43;veh0;13.13;39.91;7.59;178.68
44;veh0;11.86;30.23;9.68;186.16
45;veh0;12.70;18.47;11.75;173.68
46;veh0;13.86;8.15;10.39;173.68
47;veh0;18.42;2.71;7.71;127.01
48;veh0;27.17;2.19;8.81;88.86
49;veh0;35.59;2.92;8.46;84.98
50;veh0;45.39;3.74;9.83;85.25
51;veh0;56.51;4.66;11.16;85.25
52;veh0;69.07;5.71;12.60;85.25
53;veh0;83.68;6.92;14.67;85.25
54;veh0;98.18;8.13;14.55;85.25
55;veh0;111.94;9.27;13.81;85.25
56;veh0;125.52;10.40;13.62;85.25
57;veh0;139.65;11.57;14.18;85.25
58;veh0;153.55;12.52;13.94;87.65
59;veh0;167.88;12.32;14.46;85.25
60;veh0;181.94;13.49;14.12;85.25
61;veh0;195.46;14.61;13.56;85.25
62;veh0;205.95;15.48;10.53;85.25
63;veh0;211.97;15.98;6.03;85.23
64;veh0;213.78;16.14;1.81;85.21
65;veh0;217.27;16.10;3.50;88.94
66;veh0;220.70;12.61;5.22;137.24
67;veh0;221.45;6.18;6.49;175.19
136;ourVehicle0;204.11;148.35;15.00;85.33
137;ourVehicle0;194.15;150.75;14.39;265.33
138;ourVehicle0;178.47;149.47;15.73;265.33
139;ourVehicle0;160.74;148.02;17.79;265.33
139;ourVehicle1;231.53;0.34;15.00;355.93
140;ourVehicle0;141.41;146.44;19.39;265.33
140;ourVehicle1;230.17;15.20;14.90;353.43
141;ourVehicle0;120.23;144.72;21.25;265.33
141;ourVehicle1;227.37;29.34;14.43;349.56
142;ourVehicle0;97.82;142.89;22.49;265.33
142;ourVehicle1;226.23;43.11;13.82;355.29
143;ourVehicle0;79.89;141.42;17.99;265.33
143;ourVehicle1;225.32;54.18;11.11;355.30
143;ourVehicle2;13.98;7.10;15.00;173.68
144;ourVehicle0;66.45;140.33;13.49;265.33
144;ourVehicle1;224.68;62.01;7.86;355.33
144;ourVehicle2;25.49;2.16;13.78;91.71
145;ourVehicle0;57.49;139.60;8.99;265.33
145;ourVehicle1;224.02;69.99;8.00;355.26
145;ourVehicle2;39.94;6.49;14.78;85.23
146;ourVehicle0;52.96;139.23;4.55;265.33
146;ourVehicle1;223.22;78.74;8.80;354.30
146;ourVehicle2;57.22;7.93;17.34;85.23
147;ourVehicle0;54.17;136.11;6.50;134.27
147;ourVehicle1;222.39;86.73;8.03;354.10
147;ourVehicle2;77.02;9.58;19.86;85.25
148;ourVehicle0;63.05;136.84;8.92;85.33
148;ourVehicle1;221.51;95.35;8.67;354.21
148;ourVehicle2;98.80;11.39;21.86;85.25
149;ourVehicle0;73.39;137.68;10.37;85.33
149;ourVehicle1;220.79;103.96;8.63;355.23
149;ourVehicle2;122.75;13.38;24.04;85.25
150;ourVehicle0;86.15;138.72;12.80;85.33
150;ourVehicle1;220.08;112.49;8.56;355.23
150;ourVehicle2;147.27;15.42;24.61;85.25
151;ourVehicle0;101.03;139.94;14.93;85.33
151;ourVehicle1;219.42;120.44;7.98;355.23
151;ourVehicle2;171.06;19.00;24.21;85.25
152;ourVehicle0;117.70;141.30;16.72;85.33
152;ourVehicle1;218.74;128.54;8.13;355.23
152;ourVehicle2;194.05;20.92;23.06;85.25
153;ourVehicle0;136.91;142.87;19.28;85.33
153;ourVehicle1;218.10;136.26;7.74;355.23
153;ourVehicle2;212.56;22.46;18.57;85.25
154;ourVehicle0;158.02;144.59;21.18;85.33
154;ourVehicle1;217.40;144.90;8.68;355.49
154;ourVehicle2;225.97;26.14;14.17;62.74
155;ourVehicle0;175.18;145.99;17.22;85.33
155;ourVehicle1;216.77;153.22;8.34;355.65
155;ourVehicle2;226.51;39.80;14.14;355.29
156;ourVehicle0;188.96;147.11;13.83;85.33
156;ourVehicle2;218.69;49.30;14.41;284.39
157;ourVehicle0;198.26;147.87;9.33;85.33
157;ourVehicle2;204.59;48.56;14.13;265.25
158;ourVehicle0;203.14;148.27;4.89;85.33
158;ourVehicle2;188.64;47.24;16.01;265.26
159;ourVehicle0;209.99;148.84;6.88;85.28
159;ourVehicle2;170.75;45.75;17.95;265.24
