Step;VehicleID;X_Pos;Y_Pos;Speed_ms;Angle
38;veh2;60.55;37.98;0.05;190.30
38;veh3;62.11;28.68;8.96;92.27
39;ourVehicle1;38.55;113.32;5.94;156.83
39;ourVehicle10;67.53;30.95;15.00;287.24
39;ourVehicle13;73.46;96.70;14.89;194.46
39;ourVehicle15;163.12;37.54;17.39;24.93
39;ourVehicle17;13.26;43.33;14.35;283.28
39;ourVehicle22;40.49;35.78;14.99;286.84
39;ourVehicle23;155.60;28.95;18.23;204.93
39;ourVehicle29;152.65;15.01;14.24;24.93
39;ourVehicle3;49.44;114.72;9.07;279.64
39;ourVehicle30;40.18;32.52;13.38;106.84
39;ourVehicle31;169.20;58.22;14.99;204.93
39;ourVehicle38;13.37;40.01;14.12;103.28
39;ourVehicle47;142.06;90.29;14.54;291.55
39;ourVehicle48;97.34;17.09;14.83;110.86
39;ourVehicle52;66.01;67.29;14.85;194.21
39;ourVehicle65;102.61;18.51;14.44;290.84
39;ourVehicle66;130.91;7.07;14.15;292.34
39;ourVehicle7;64.71;43.01;14.07;10.30
39;ourVehicle81;70.76;107.80;5.30;100.22
39;ourVehicle83;162.71;82.13;14.11;291.55
39;veh0;113.91;99.84;7.55;286.99
39;veh1;99.06;101.03;6.85;106.01
39;veh2;60.55;37.97;0.01;190.30
39;veh3;69.84;26.88;7.97;105.89
40;ourVehicle1;45.70;112.11;7.26;99.64
40;ourVehicle10;53.90;32.50;13.74;275.69
40;ourVehicle13;69.69;81.83;15.35;194.21
40;ourVehicle15;171.20;54.93;19.18;24.93
40;ourVehicle17;3.51;45.63;10.02;283.28
40;ourVehicle22;27.29;39.78;13.80;286.84
40;ourVehicle23;147.66;11.87;18.84;204.93
40;ourVehicle29;158.81;28.27;14.62;24.93
40;ourVehicle3;42.76;115.86;6.77;279.64
40;ourVehicle30;48.87;30.01;9.05;105.56
40;ourVehicle31;163.01;44.89;14.69;204.93
40;ourVehicle34;175.52;71.81;15.00;135.00
40;ourVehicle38;27.24;36.44;14.32;106.55
40;ourVehicle4;77.76;100.61;15.00;14.24
40;ourVehicle47;131.12;94.58;11.75;291.24
40;ourVehicle48;110.19;12.12;13.79;111.71
40;ourVehicle52;63.95;56.69;10.80;190.30
40;ourVehicle65;89.55;23.48;13.96;290.84
40;ourVehicle66;116.38;13.04;15.72;292.34
40;ourVehicle7;67.62;59.03;16.28;10.30
40;ourVehicle81;74.86;103.35;6.71;147.83
40;ourVehicle83;150.27;87.04;13.37;291.55
40;veh0;105.59;102.38;8.70;286.99
40;veh1;105.70;99.00;6.95;106.99
40;veh2;60.55;37.97;0.00;190.30
40;veh3;78.12;24.09;8.73;109.10
41;ourVehicle1;54.95;110.54;9.38;99.64
41;ourVehicle10;39.81;35.99;14.56;286.84
41;ourVehicle13;66.65;69.82;12.39;194.21
41;ourVehicle15;178.08;69.72;16.31;24.93
41;ourVehicle17;-1.54;45.21;5.52;263.21
41;ourVehicle22;15.80;42.73;11.87;283.28
41;ourVehicle23;138.84;3.81;14.86;280.41
41;ourVehicle29;164.65;40.83;13.85;24.93
41;ourVehicle3;36.96;116.21;5.97;272.29
41;ourVehicle30;53.79;29.28;4.98;98.38
41;ourVehicle31;156.92;31.80;14.44;204.93
41;ourVehicle34;169.47;58.79;14.36;204.93
41;ourVehicle38;37.25;33.41;10.46;106.84
41;ourVehicle4;71.07;111.03;14.39;293.10
41;ourVehicle47;120.05;97.96;11.57;286.99
41;ourVehicle48;123.20;6.77;14.06;112.33
41;ourVehicle52;62.75;50.07;6.72;190.30
41;ourVehicle65;78.83;27.23;11.36;289.12
41;ourVehicle66;101.97;18.75;15.50;290.84
41;ourVehicle7;71.70;76.73;18.17;14.24
41;ourVehicle81;72.85;94.30;9.28;194.21
41;ourVehicle83;139.79;91.18;11.26;291.55
41;ourVehicle9;67.53;30.95;15.00;287.24
41;veh0;97.75;104.77;8.20;286.99
41;veh1;112.38;96.96;6.99;106.99
41;veh2;60.55;37.97;0.00;190.30
41;veh3;85.57;21.51;7.89;109.10
42;ourVehicle1;65.97;108.66;11.18;99.64
42;ourVehicle10;27.96;39.58;12.39;286.84
42;ourVehicle13;64.71;60.88;9.15;190.60
42;ourVehicle15;170.51;79.05;14.62;291.55
42;ourVehicle17;2.90;42.48;5.74;115.21
42;ourVehicle22;8.62;44.42;7.37;283.28
42;ourVehicle23;123.32;10.19;16.78;292.34
42;ourVehicle29;170.83;54.13;14.66;24.93
42;ourVehicle3;40.21;113.04;6.36;118.40
42;ourVehicle30;55.36;29.05;1.58;98.38
42;ourVehicle31;150.84;18.71;14.43;204.93
42;ourVehicle34;163.46;45.86;14.25;204.93
42;ourVehicle38;43.85;31.41;6.90;106.84
42;ourVehicle4;58.45;113.19;12.80;279.64
42;ourVehicle47;110.51;100.87;9.97;286.99
42;ourVehicle48;136.55;1.29;14.44;112.33
42;ourVehicle52;61.93;45.55;4.59;190.30
42;ourVehicle65;71.44;29.74;7.80;288.49
42;ourVehicle66;89.99;23.31;12.82;290.84
42;ourVehicle7;76.03;93.81;17.62;14.24
42;ourVehicle78;174.66;73.97;15.00;111.55
42;ourVehicle81;70.00;83.03;11.62;194.21
42;ourVehicle83;128.61;95.34;11.94;288.85
42;ourVehicle9;64.83;43.70;14.76;10.30
42;veh0;89.38;106.97;8.66;284.46
42;veh1;119.26;94.86;7.19;106.99
42;veh2;60.55;37.97;0.00;190.30
42;veh3;93.53;18.54;8.50;110.86
43;ourVehicle1;74.92;103.90;11.03;139.30
43;ourVehicle10;19.29;41.91;8.98;283.63
43;ourVehicle13;63.75;55.61;5.36;190.30
43;ourVehicle15;154.62;85.33;17.08;291.55
43;ourVehicle17;10.20;40.76;7.50;103.28
43;ourVehicle22;1.67;46.06;7.15;283.28
43;ourVehicle23;107.83;16.52;16.73;292.05
43;ourVehicle29;176.97;67.35;14.58;24.93
43;ourVehicle3;48.62;111.61;8.53;99.64
43;ourVehicle30;55.56;29.02;0.20;98.38
43;ourVehicle31;146.24;8.81;10.91;204.93
43;ourVehicle34;157.48;33.00;14.18;204.93
43;ourVehicle38;47.77;30.23;4.09;106.84
43;ourVehicle4;46.95;115.15;11.66;279.64
43;ourVehicle47;101.40;103.66;9.53;286.99
43;ourVehicle48;146.02;1.13;10.58;67.27
43;ourVehicle52;61.89;45.37;0.18;190.30
43;ourVehicle65;65.63;30.00;6.28;268.59
43;ourVehicle66;81.04;26.47;9.49;289.12
43;ourVehicle7;76.36;108.42;15.38;338.57
43;ourVehicle78;170.50;61.01;14.60;204.93
43;ourVehicle81;67.53;73.28;10.06;194.21
43;ourVehicle83;119.32;98.18;9.71;286.99
43;ourVehicle9;67.78;59.93;16.49;10.30
43;veh0;82.09;108.34;7.44;278.82
43;veh1;126.15;92.75;7.21;106.99
43;veh2;60.55;37.97;0.00;190.30
43;veh3;101.50;15.51;8.53;110.86
44;ourVehicle1;72.48;92.84;11.34;194.21
44;ourVehicle10;11.48;43.75;8.03;283.28
44;ourVehicle12;70.41;107.91;15.00;99.64
44;ourVehicle13;63.39;53.61;2.03;190.30
44;ourVehicle15;140.37;90.95;15.33;291.55
44;ourVehicle17;19.67;38.52;9.73;103.28
44;ourVehicle22;-0.04;43.17;6.35;187.12
44;ourVehicle23;96.10;20.99;12.55;290.84
44;ourVehicle29;176.69;76.46;10.52;329.67
44;ourVehicle3;59.02;109.84;10.55;99.64
44;ourVehicle30;55.61;29.02;0.06;98.38
44;ourVehicle31;143.24;2.78;6.77;207.04
44;ourVehicle34;152.00;21.21;13.00;204.93
44;ourVehicle38;48.03;30.15;0.27;106.84
44;ourVehicle4;38.75;116.54;8.31;279.64
44;ourVehicle47;92.48;106.17;9.27;284.63
44;ourVehicle48;150.72;10.85;10.80;24.93
44;ourVehicle52;61.89;45.36;0.01;190.30
44;ourVehicle65;70.31;26.74;6.39;114.42
44;ourVehicle66;74.20;28.84;7.24;289.12
44;ourVehicle7;62.85;112.45;14.36;279.64
44;ourVehicle78;163.69;46.35;16.17;204.93
44;ourVehicle81;65.87;66.74;6.75;194.21
44;ourVehicle83;110.72;100.81;9.00;286.99
44;ourVehicle9;71.58;76.27;16.78;14.24
44;veh0;81.20;108.29;0.91;275.61
44;veh1;132.74;90.53;6.96;109.31
44;veh2;60.55;37.97;0.00;190.30
44;veh3;109.42;12.43;8.50;111.46
45;ourVehicle1;69.70;81.87;11.32;194.21
45;ourVehicle10;4.22;45.46;7.46;283.28
45;ourVehicle12;84.52;104.91;14.41;101.99
45;ourVehicle13;63.25;52.84;0.78;190.30
45;ourVehicle15;128.51;95.38;12.67;288.75
45;ourVehicle17;30.49;35.46;11.25;106.84
45;ourVehicle22;8.16;41.24;8.42;103.28
45;ourVehicle23;87.13;24.36;9.59;290.33
45;ourVehicle29;166.64;80.58;10.87;291.55
45;ourVehicle3;70.31;107.93;11.45;99.64
45;ourVehicle30;55.62;29.01;0.01;98.38
45;ourVehicle31;137.34;4.43;6.35;291.87
45;ourVehicle34;148.05;12.71;9.37;204.93
45;ourVehicle38;48.17;30.11;0.15;106.75
45;ourVehicle4;38.58;113.32;6.60;155.91
45;ourVehicle47;88.56;107.18;4.05;284.46
45;ourVehicle48;156.27;22.81;13.18;24.93
45;ourVehicle52;61.89;45.35;0.01;190.30
45;ourVehicle65;78.46;23.98;8.61;109.10
45;ourVehicle66;69.14;30.45;5.31;287.59
45;ourVehicle7;52.35;114.23;10.65;279.64
45;ourVehicle78;157.73;33.52;14.14;204.93
45;ourVehicle81;64.97;62.30;4.53;191.72
45;ourVehicle83;101.58;103.60;9.56;286.99
45;ourVehicle9;74.91;89.39;13.54;14.24
45;veh0;78.01;106.98;3.51;254.44
45;veh1;138.83;88.12;6.54;111.55
45;veh2;60.55;37.97;0.00;190.30
45;veh3;117.20;9.24;8.41;112.33
46;ourVehicle1;67.79;74.33;7.78;194.21
46;ourVehicle10;-1.54;45.21;6.26;263.20
46;ourVehicle12;98.26;101.27;14.22;105.59
46;ourVehicle13;63.24;52.77;0.08;190.30
46;ourVehicle15;116.65;99.00;12.40;286.99
46;ourVehicle17;37.79;33.25;7.63;106.84
