Step;VehicleID;X_Pos;Y_Pos;Speed_ms;Angle
1;veh0;4.59;42.08;8.83;103.28
2;veh0;11.93;40.35;7.53;103.28
3;veh0;19.60;38.53;7.89;103.28
4;veh0;27.50;36.36;8.20;106.75
5;veh0;35.29;34.00;8.14;106.84
6;veh0;43.62;31.48;8.70;106.84
7;veh0;51.16;29.67;7.77;101.65
8;ourVehicle1;63.67;37.30;15.00;346.42
8;ourVehicle2;143.75;3.45;15.00;204.93
8;veh0;59.55;28.72;8.45;95.12
9;ourVehicle1;66.33;51.93;14.87;10.30
9;ourVehicle2;130.91;7.07;14.15;292.34
9;ourVehicle4;55.04;32.33;15.00;274.19
9;veh0;68.15;27.40;8.75;103.92
10;ourVehicle1;68.88;65.61;13.92;11.00
10;ourVehicle2;116.40;13.03;15.69;292.34
10;ourVehicle4;40.82;35.68;14.65;286.84
10;ourVehicle6;60.53;37.87;15.00;190.30
10;veh0;75.96;24.84;8.22;108.78
11;ourVehicle1;72.43;79.62;14.45;14.24
11;ourVehicle2;100.50;19.31;17.10;290.84
11;ourVehicle4;27.17;39.81;14.26;286.84
11;ourVehicle6;65.30;46.24;13.76;10.30
11;veh0;83.20;22.33;7.66;109.10
11;veh1;4.59;42.08;7.82;103.28
12;ourVehicle0;55.72;29.00;15.00;98.38
12;ourVehicle1;75.08;90.04;10.74;14.24
12;ourVehicle2;82.55;25.94;19.14;289.12
12;ourVehicle4;13.26;43.33;14.35;283.28
12;ourVehicle6;68.12;61.78;15.80;10.30
12;veh0;91.34;19.38;8.66;110.58
12;veh1;11.25;40.51;6.84;103.28
13;ourVehicle0;69.52;26.98;14.03;105.60
13;ourVehicle1;76.63;96.14;6.30;14.24
13;ourVehicle2;64.07;33.62;20.34;305.65
13;ourVehicle4;2.50;45.87;11.06;283.28
13;ourVehicle6;71.31;75.21;13.80;14.24
13;veh0;99.04;16.45;8.23;110.86
13;veh1;18.55;38.78;7.50;103.28
