Step;VehicleID;X_Pos;Y_Pos;Speed_ms;Angle
1;veh0;207.34;52.00;0.00;265.30
2;veh0;205.62;51.86;1.73;265.26
3;veh0;202.40;51.59;3.23;265.25
4;veh0;196.59;51.11;5.82;265.26
5;veh0;188.40;50.43;8.22;265.26
6;veh0;177.93;49.56;10.51;265.26
7;veh0;165.05;48.49;12.93;265.25
8;veh0;150.93;47.32;14.17;265.26
9;veh0;136.90;46.15;14.09;265.25
10;veh0;122.79;44.98;14.16;265.25
11;veh0;108.86;43.82;13.98;265.25
12;veh0;94.88;44.26;14.09;267.81
13;veh0;80.29;43.05;14.65;265.26
14;veh0;66.58;41.92;13.75;265.26
15;veh0;52.96;40.79;13.67;265.26
16;veh0;39.89;39.71;13.11;265.26
17;veh0;28.51;38.75;11.42;265.18
18;veh0;21.36;38.75;7.19;272.02
19;veh0;16.45;43.21;7.17;324.02
20;veh0;15.56;51.00;7.85;353.69
21;veh0;14.72;59.37;8.41;354.66
22;veh0;13.97;68.01;8.67;355.07
23;veh0;13.25;76.38;8.40;355.07
24;veh0;12.59;83.98;7.62;355.07
25;veh0;11.94;91.58;7.62;355.07
26;veh0;11.23;99.82;8.27;355.07
27;veh0;10.51;108.21;8.42;355.07
28;veh0;9.79;116.51;8.33;355.07
29;veh0;9.25;124.73;8.25;356.95
30;veh0;9.31;128.48;3.75;0.98
31;veh0;7.26;130.39;3.40;330.10
32;veh0;6.09;127.37;3.47;222.09
33;veh0;6.13;121.70;5.68;179.38
34;veh0;6.80;114.04;7.69;175.07
35;veh0;7.55;105.25;8.82;175.07
36;veh0;8.27;96.88;8.41;175.07
37;veh0;8.98;88.74;8.17;175.07
38;veh0;9.71;80.24;8.53;175.07
39;veh0;10.38;72.52;7.76;175.07
40;veh0;11.06;64.56;7.99;175.07
41;veh0;11.78;56.27;8.32;175.07
42;veh0;12.73;47.50;8.82;173.68
43;veh0;13.13;39.91;7.59;178.68
44;veh0;11.86;30.23;9.68;186.16
45;veh0;12.70;18.47;11.75;173.68
46;veh0;13.86;8.15;10.39;173.68
47;veh0;18.42;2.71;7.71;127.01
48;veh0;27.17;2.19;8.81;88.86
49;veh0;35.59;2.92;8.46;84.98
50;veh0;45.39;3.74;9.83;85.25
51;veh0;56.51;4.66;11.16;85.25
52;veh0;69.07;5.71;12.60;85.25
53;veh0;83.68;6.92;14.67;85.25
54;veh0;98.18;8.13;14.55;85.25
55;veh0;111.94;9.27;13.81;85.25
56;veh0;125.52;10.40;13.62;85.25
57;veh0;139.65;11.57;14.18;85.25
58;veh0;153.55;12.52;13.94;87.65
59;veh0;167.88;12.32;14.46;85.25
60;veh0;181.94;13.49;14.12;85.25
61;veh0;195.46;14.61;13.56;85.25
62;veh0;205.95;15.48;10.53;85.25
63;veh0;211.97;15.98;6.03;85.23
64;veh0;213.78;16.14;1.81;85.21
65;veh0;217.27;16.10;3.50;88.94
66;veh0;220.70;12.61;5.22;137.24
67;veh0;221.45;6.18;6.49;175.19
172;veh1;3.68;161.73;7.82;174.81
173;veh1;4.28;155.19;6.57;174.81
174;veh1;4.88;148.50;6.72;174.81
175;veh1;5.48;141.85;6.67;174.86
176;veh1;6.12;134.11;7.77;175.47
177;veh1;6.08;126.51;7.59;180.87
178;veh1;6.32;119.60;6.92;176.91
179;veh1;6.90;112.84;6.79;175.07
180;veh1;7.47;106.25;6.62;175.07
181;veh1;8.08;99.15;7.12;175.07
182;veh1;8.72;91.66;7.52;175.07
183;veh1;9.30;84.94;6.75;175.07
184;veh1;9.97;77.26;7.71;175.07
185;veh1;10.58;70.12;7.16;175.07
186;veh1;11.16;63.42;6.73;175.07
187;veh1;11.79;56.16;7.29;175.07
188;veh1;12.60;48.64;7.56;173.68
189;veh1;13.03;44.76;3.91;173.72
190;veh1;13.68;38.81;6.02;173.73
191;veh1;14.50;31.40;7.54;173.72
192;veh1;15.55;21.80;9.72;173.70
193;veh1;16.76;11.10;10.76;173.59
194;veh1;18.98;5.79;6.26;152.78
195;veh1;24.91;5.29;6.00;91.98
196;veh1;30.40;5.68;5.51;85.79
197;veh1;38.44;6.36;8.06;85.21
198;veh1;48.99;7.24;10.59;85.23
199;veh1;61.37;8.28;12.43;85.23
200;veh1;73.94;9.32;12.61;85.25
201;veh1;86.73;10.39;12.84;85.25
202;veh1;99.13;11.42;12.44;85.25
203;veh1;111.87;12.48;12.79;85.25
204;veh1;124.63;13.54;12.80;85.25
205;veh1;137.23;14.58;12.65;85.25
206;veh1;149.86;15.63;12.67;85.25
207;veh1;162.11;18.26;12.63;82.85
208;veh1;174.13;19.26;12.06;85.25
209;veh1;186.16;20.26;12.07;85.25
210;veh1;198.29;21.27;12.16;85.25
211;veh1;209.82;22.23;11.57;85.24
212;veh1;217.06;22.98;7.28;83.56
213;veh1;224.25;24.78;7.43;73.09
214;veh1;227.23;30.97;7.48;12.71
215;veh1;226.62;38.37;7.44;355.30
216;veh1;226.29;42.37;4.02;355.29
217;veh1;225.25;46.71;4.52;347.35
218;veh1;218.88;49.26;7.11;285.20
219;veh1;212.01;49.18;6.87;268.38
220;veh1;203.29;48.45;8.75;265.25
221;veh1;192.63;47.57;10.69;265.26
222;veh1;179.81;46.51;12.86;265.26
223;veh1;167.64;45.49;12.22;265.24
224;veh1;155.43;44.48;12.25;265.26
225;veh1;143.14;43.46;12.33;265.25
226;veh1;130.25;42.39;12.93;265.25
227;veh1;118.54;41.42;11.75;265.25
228;veh1;106.03;40.37;12.56;265.18
229;veh1;94.23;37.79;12.18;264.10
230;veh1;82.05;36.78;12.22;265.26
231;veh1;69.69;35.75;12.40;265.26
232;veh1;57.57;34.75;12.16;265.26
233;veh1;45.29;33.73;12.33;265.26
234;veh1;35.00;32.88;10.33;265.26
235;veh1;28.72;32.36;6.30;265.27
236;veh1;22.24;31.52;6.54;261.88
237;veh1;15.89;28.22;7.34;237.22
238;veh1;15.52;22.09;6.29;179.33
239;veh1;16.45;13.90;8.25;173.49
343;veh2;223.81;153.19;0.00;265.31
